k,algorithm,init,repeats,nmi_mean,nmi_std
2,KMeans,k-means++,3,0.7336804366512114,1.1102230246251565e-16
2,KMeans,random,3,0.7336804366512114,1.1102230246251565e-16
2,MiniBatchKMeans,k-means++,3,0.7336804366512114,1.1102230246251565e-16
2,MiniBatchKMeans,random,3,0.7336804366512114,1.1102230246251565e-16
3,KMeans,k-means++,3,0.6571773291527783,0.0032662161268831587
3,KMeans,random,3,0.6515678041285923,0.006905838144332168
3,MiniBatchKMeans,k-means++,3,0.6596050944328605,0.010571922203415074
3,MiniBatchKMeans,random,3,0.6636412672377089,0.0029427741628899836
4,KMeans,k-means++,3,0.595833213565138,0.011150393114463312
4,KMeans,random,3,0.5917730620840248,0.007162732087724991
4,MiniBatchKMeans,k-means++,3,0.6059463123400568,0.013831645387825227
4,MiniBatchKMeans,random,3,0.6101515229257337,0.007386200666648122
